買賣租管;ㄇㄞㄇㄞㄗㄨㄍㄨㄢ;maimaizuguan
宏亞國際認證諮詢有限公司;ㄏㄨㄥ一ㄚㄍㄨㄛㄐ一ㄖㄣㄓㄥㄗㄒㄩㄣ一ㄡㄒ一ㄢㄍㄨㄥㄙ;hongyaguojirenzhengzixunyouxiangongsi
個人自傳;ㄍㄜㄖㄣㄗㄓㄨㄢ,ㄍㄜㄖㄣㄗㄔㄨㄢ;gerenzichuan,gerenzizhuan
MEI技術學院;MEIㄐ一ㄕㄨㄒㄩㄝㄩㄢ;MEIjishuxueyuan
學校;ㄒㄩㄝㄐ一ㄠ,ㄒㄩㄝㄒ一ㄠ;xuexiao,xuejiao
東方美整型美容瘦身中心;ㄉㄨㄥㄈㄤㄇㄟㄓㄥㄒ一ㄥㄇㄟㄖㄨㄥㄕㄡㄕㄣㄓㄨㄥㄒ一ㄣ;dongfangmeizhengxingmeirongshoushenzhongxin
牙套洗牙;一ㄚㄊㄠㄒ一一ㄚ;yataoxiya
曾以文保險;ㄘㄥ一ㄨㄣㄅㄠㄒ一ㄢ,ㄗㄥ一ㄨㄣㄅㄠㄒ一ㄢ;cengyiwenbaoxian,zengyiwenbaoxian
長灘本田汽車;ㄓㄤㄊㄢㄅㄣㄊ一ㄢㄑ一ㄔㄜ,ㄓㄤㄊㄢㄅㄣㄊ一ㄢㄑ一ㄐㄩ,ㄔㄤㄊㄢㄅㄣㄊ一ㄢㄑ一ㄔㄜ,ㄔㄤㄊㄢㄅㄣㄊ一ㄢㄑ一ㄐㄩ;changtanbentianqiju,changtanbentianqiche,zhangtanbentianqiju,zhangtanbentianqiche
酒駕撞死人;ㄐ一ㄡㄐ一ㄚㄓㄨㄤㄙㄖㄣ;jiujiazhuangsiren
護理教育;ㄏㄨㄌ一ㄐ一ㄠㄩ;hulijiaoyu
陳氏珠寶有限公司;ㄔㄣㄕㄓㄨㄅㄠ一ㄡㄒ一ㄢㄍㄨㄥㄙ;chenshizhubaoyouxiangongsi
柔似蜜舊汽車零件中心;ㄖㄡㄙㄇ一ㄐ一ㄡㄑ一ㄔㄜㄌ一ㄥㄐ一ㄢㄓㄨㄥㄒ一ㄣ,ㄖㄡㄙㄇ一ㄐ一ㄡㄑ一ㄐㄩㄌ一ㄥㄐ一ㄢㄓㄨㄥㄒ一ㄣ;rousimijiuqijulingjianzhongxin,rousimijiuqichelingjianzhongxin
ASAP郵局;ASAP一ㄡㄐㄩ;ASAPyouju
安裝木車庫門安裝;ㄢㄓㄨㄤㄇㄨㄔㄜㄎㄨㄇㄣㄢㄓㄨㄤ,ㄢㄓㄨㄤㄇㄨㄐㄩㄎㄨㄇㄣㄢㄓㄨㄤ;anzhuangmujukumenanzhuang,anzhuangmuchekumenanzhuang
免試入籍;ㄇ一ㄢㄕㄖㄨㄐ一;mianshiruji
搬運保險;ㄅㄢㄩㄣㄅㄠㄒ一ㄢ;banyunbaoxian
周祥裝飾─周生;ㄓㄡㄒ一ㄤㄓㄨㄤㄕ─ㄓㄡㄕㄥ;zhouxiangzhuangshi─zhousheng
壽胎丸;ㄕㄡㄊㄞㄨㄢ;shoutaiwan
棺上花;ㄍㄨㄢㄕㄤㄏㄨㄚ;guanshanghua
憂鬱症;一ㄡㄩㄓㄥ;youyuzheng
訂做購物袋訂做;ㄉ一ㄥㄗㄨㄛㄍㄡㄨㄉㄞㄉ一ㄥㄗㄨㄛ;dingzuogouwudaidingzuo
獎盃;ㄐ一ㄤㄅㄟ;jiangbei
中英文印章;ㄓㄨㄥ一ㄥㄨㄣ一ㄣㄓㄤ;zhongyingwenyinzhang
黃光;ㄏㄨㄤㄍㄨㄤ;huangguang
頭痛失眠;ㄊㄡㄊㄨㄥㄕㄇ一ㄢ;toutongshimian
自力倉儲;ㄗㄌ一ㄘㄤㄔㄨ;zilicangchu
稅局抗辯;ㄕㄨㄟㄐㄩㄎㄤㄅ一ㄢ,ㄕㄨㄟㄐㄩㄎㄤㄅㄢ;shuijukangban,shuijukangbian
靈療大師黃法良;ㄌ一ㄥㄌ一ㄠㄉㄚㄕㄏㄨㄤㄈㄚㄌ一ㄤ,ㄌ一ㄥㄌ一ㄠㄉㄞㄕㄏㄨㄤㄈㄚㄌ一ㄤ;lingliaodaishihuangfaliang,lingliaodashihuangfaliang
農夫保險公司;ㄋㄨㄥㄈㄨㄅㄠㄒ一ㄢㄍㄨㄥㄙ;nongfubaoxiangongsi
鑽石吧華人聯誼協會;ㄗㄨㄢㄉㄢㄅㄚㄏㄨㄚㄖㄣㄌ一ㄢ一ㄒ一ㄝㄏㄨㄟ,ㄗㄨㄢㄉㄢㄅㄚㄏㄨㄚㄖㄣㄌ一ㄢ一ㄒ一ㄝㄎㄨㄞ,ㄗㄨㄢㄕㄅㄚㄏㄨㄚㄖㄣㄌ一ㄢ一ㄒ一ㄝㄏㄨㄟ,ㄗㄨㄢㄕㄅㄚㄏㄨㄚㄖㄣㄌ一ㄢ一ㄒ一ㄝㄎㄨㄞ;zuanshibahuarenlianyixiekuai,zuanshibahuarenlianyixiehui,zuandanbahuarenlianyixiekuai,zuandanbahuarenlianyixiehui
周遙勵醫師;ㄓㄡ一ㄠㄌ一一ㄕ;zhouyaoliyishi
冷氣機修理;ㄌㄥㄑ一ㄐ一ㄒ一ㄡㄌ一;lengqijixiuli
軟/硬件;ㄖㄨㄢ/一ㄥㄐ一ㄢ;ruan/yingjian
頂好貴賓汽車服務有限公司;ㄉ一ㄥㄏㄠㄍㄨㄟㄅ一ㄣㄑ一ㄔㄜㄈㄨㄨ一ㄡㄒ一ㄢㄍㄨㄥㄙ,ㄉ一ㄥㄏㄠㄍㄨㄟㄅ一ㄣㄑ一ㄔㄜㄅ一ㄨ一ㄡㄒ一ㄢㄍㄨㄥㄙ,ㄉ一ㄥㄏㄠㄍㄨㄟㄅ一ㄣㄑ一ㄐㄩㄈㄨㄨ一ㄡㄒ一ㄢㄍㄨㄥㄙ,ㄉ一ㄥㄏㄠㄍㄨㄟㄅ一ㄣㄑ一ㄐㄩㄅ一ㄨ一ㄡㄒ一ㄢㄍㄨㄥㄙ;dinghaoguibinqijubiwuyouxiangongsi,dinghaoguibinqijufuwuyouxiangongsi,dinghaoguibinqichebiwuyouxiangongsi,dinghaoguibinqichefuwuyouxiangongsi
寶華冷暖空調;ㄅㄠㄏㄨㄚㄌㄥㄋㄨㄢㄎㄨㄥㄉ一ㄠ,ㄅㄠㄏㄨㄚㄌㄥㄋㄨㄢㄎㄨㄥㄊ一ㄠ;baohualengnuankongdiao,baohualengnuankongtiao
皮膚科;ㄆ一ㄈㄨㄎㄜ;pifuke
地產仲介;ㄉ一ㄔㄢㄓㄨㄥㄐ一ㄝ,ㄉㄜㄔㄢㄓㄨㄥㄐ一ㄝ;dechanzhongjie,dichanzhongjie
POS系統;POSㄒ一ㄊㄨㄥ;POSxitong
清理游泳池;ㄑ一ㄥㄌ一一ㄡㄩㄥㄔ;qingliyouyongchi
紫豔娜會計師事務所;ㄗ一ㄢㄋㄨㄛㄏㄨㄟㄐ一ㄕㄕㄨㄙㄨㄛ,ㄗ一ㄢㄋㄨㄛㄎㄨㄞㄐ一ㄕㄕㄨㄙㄨㄛ;ziyannuokuaijishishiwusuo,ziyannuohuijishishiwusuo
設備用品;ㄕㄜㄅㄟㄩㄥㄆ一ㄣ;shebeiyongpin
商旅專車;ㄕㄤㄌㄩㄓㄨㄢㄔㄜ,ㄕㄤㄌㄩㄓㄨㄢㄐㄩ;shanglvzhuanju,shanglvzhuanche
宏恩眼科‧眼鏡─徐文生醫師;ㄏㄨㄥㄣ一ㄢㄎㄜ‧一ㄢㄐ一ㄥ─ㄒㄩㄨㄣㄕㄥ一ㄕ;hongenyanke‧yanjing─xuwenshengyishi
馬揚醫學博士;ㄇㄚ一ㄤ一ㄒㄩㄝㄅㄛㄕ;mayangyixueboshi
婦產專科;ㄈㄨㄔㄢㄓㄨㄢㄎㄜ;fuchanzhuanke
州農保險─劉紹強;ㄓㄡㄋㄨㄥㄅㄠㄒ一ㄢ─ㄌ一ㄡㄕㄠㄑ一ㄤ;zhounongbaoxian─liushaoqiang
皮鞋;ㄆ一ㄒ一ㄝ;pixie
腰疼頸僵;一ㄠㄊㄥㄐ一ㄥㄐ一ㄤ;yaotengjingjiang
前中期癌;ㄑ一ㄢㄓㄨㄥㄑ一ㄞ,ㄑ一ㄢㄓㄨㄥㄑ一一ㄢ;qianzhongqiai,qianzhongqiyan
廚房新建廚房;ㄔㄨㄈㄤㄒ一ㄣㄐ一ㄢㄔㄨㄈㄤ;chufangxinjianchufang
房地產保險;ㄈㄤㄉ一ㄔㄢㄅㄠㄒ一ㄢ,ㄈㄤㄉㄜㄔㄢㄅㄠㄒ一ㄢ;fangdechanbaoxian,fangdichanbaoxian
壽險;ㄕㄡㄒ一ㄢ;shouxian
水煮味;ㄕㄨㄟㄓㄨㄨㄟ;shuizhuwei
實惠帳篷‧鐵工;ㄕㄏㄨㄟㄓㄤㄆㄥ‧ㄊ一ㄝㄍㄨㄥ;shihuizhangpeng‧tiegong
素菜包;ㄙㄨㄘㄞㄅㄠ;sucaibao
創新容器公司;ㄔㄨㄤㄒ一ㄣㄖㄨㄥㄑ一ㄍㄨㄥㄙ;chuangxinrongqigongsi
長榮航空公司(訂位);ㄓㄤㄖㄨㄥㄏㄤㄎㄨㄥㄍㄨㄥㄙ(ㄉ一ㄥㄨㄟ),ㄔㄤㄖㄨㄥㄏㄤㄎㄨㄥㄍㄨㄥㄙ(ㄉ一ㄥㄨㄟ);changronghangkonggongsi(dingwei),zhangronghangkonggongsi(dingwei)
直髮;ㄓㄈㄚ;zhifa
新大陸電召車;ㄒ一ㄣㄉㄚㄌ一ㄡㄉ一ㄢㄓㄠㄔㄜ,ㄒ一ㄣㄉㄚㄌ一ㄡㄉ一ㄢㄓㄠㄐㄩ,ㄒ一ㄣㄉㄚㄌ一ㄡㄉ一ㄢㄕㄠㄔㄜ,ㄒ一ㄣㄉㄚㄌ一ㄡㄉ一ㄢㄕㄠㄐㄩ,ㄒ一ㄣㄉㄚㄌㄨㄉ一ㄢㄓㄠㄔㄜ,ㄒ一ㄣㄉㄚㄌㄨㄉ一ㄢㄓㄠㄐㄩ,ㄒ一ㄣㄉㄚㄌㄨㄉ一ㄢㄕㄠㄔㄜ,ㄒ一ㄣㄉㄚㄌㄨㄉ一ㄢㄕㄠㄐㄩ,ㄒ一ㄣㄉㄞㄌ一ㄡㄉ一ㄢㄓㄠㄔㄜ,ㄒ一ㄣㄉㄞㄌ一ㄡㄉ一ㄢㄓㄠㄐㄩ,ㄒ一ㄣㄉㄞㄌ一ㄡㄉ一ㄢㄕㄠㄔㄜ,ㄒ一ㄣㄉㄞㄌ一ㄡㄉ一ㄢㄕㄠㄐㄩ,ㄒ一ㄣㄉㄞㄌㄨㄉ一ㄢㄓㄠㄔㄜ,ㄒ一ㄣㄉㄞㄌㄨㄉ一ㄢㄓㄠㄐㄩ,ㄒ一ㄣㄉㄞㄌㄨㄉ一ㄢㄕㄠㄔㄜ,ㄒ一ㄣㄉㄞㄌㄨㄉ一ㄢㄕㄠㄐㄩ;xindailiudianzhaoju,xindailiudianzhaoche,xindailiudianshaoju,xindailiudianshaoche,xindailudianzhaoju,xindailudianzhaoche,xindailudianshaoju,xindailudianshaoche,xindaliudianzhaoju,xindaliudianzhaoche,xindaliudianshaoju,xindaliudianshaoche,xindaludianzhaoju,xindaludianzhaoche,xindaludianshaoju,xindaludianshaoche
蓋瑞汽車電路修護;ㄍㄞㄖㄨㄟㄑ一ㄔㄜㄉ一ㄢㄌㄨㄒ一ㄡㄏㄨ,ㄍㄞㄖㄨㄟㄑ一ㄐㄩㄉ一ㄢㄌㄨㄒ一ㄡㄏㄨ,ㄍㄜㄖㄨㄟㄑ一ㄔㄜㄉ一ㄢㄌㄨㄒ一ㄡㄏㄨ,ㄍㄜㄖㄨㄟㄑ一ㄐㄩㄉ一ㄢㄌㄨㄒ一ㄡㄏㄨ;geruiqijudianluxiuhu,geruiqichedianluxiuhu,gairuiqijudianluxiuhu,gairuiqichedianluxiuhu
王昭房地產經紀;ㄨㄤㄓㄠㄈㄤㄉ一ㄔㄢㄐ一ㄥㄐ一,ㄨㄤㄓㄠㄈㄤㄉㄜㄔㄢㄐ一ㄥㄐ一;wangzhaofangdechanjingji,wangzhaofangdichanjingji
微軟商店;ㄨㄟㄖㄨㄢㄕㄤㄉ一ㄢ;weiruanshangdian
中國菜;ㄓㄨㄥㄍㄨㄛㄘㄞ;zhongguocai
幹細胞植牙;ㄍㄢㄒ一ㄅㄠㄓ一ㄚ;ganxibaozhiya
可利瑪玻璃;ㄎㄜㄌ一ㄇㄚㄅㄛㄌ一;kelimaboli
曹啟基內科醫學博士;ㄘㄠㄑ一ㄐ一ㄋㄟㄎㄜ一ㄒㄩㄝㄅㄛㄕ;caoqijineikeyixueboshi
農夫保險─YVONNE陳;ㄋㄨㄥㄈㄨㄅㄠㄒ一ㄢ─YVONNEㄔㄣ;nongfubaoxian─YVONNEchen
西湖餐室;ㄒ一ㄏㄨㄘㄢㄕ;xihucanshi
城市駕駛學校‧交通違規班;ㄔㄥㄕㄐ一ㄚㄕㄒㄩㄝㄐ一ㄠ‧ㄐ一ㄠㄊㄨㄥㄨㄟㄍㄨㄟㄅㄢ,ㄔㄥㄕㄐ一ㄚㄕㄒㄩㄝㄒ一ㄠ‧ㄐ一ㄠㄊㄨㄥㄨㄟㄍㄨㄟㄅㄢ;chengshijiashixuexiao‧jiaotongweiguiban,chengshijiashixuejiao‧jiaotongweiguiban
商用門窗;ㄕㄤㄩㄥㄇㄣㄔㄨㄤ;shangyongmenchuang
微電腦探測;ㄨㄟㄉ一ㄢㄋㄠㄊㄢㄘㄜ;weidiannaotance
IHOP餐廳;IHOPㄘㄢㄊ一ㄥ;IHOPcanting
盤雞;ㄆㄢㄐ一;panji
口語翻譯;ㄎㄡㄩㄈㄢ一;kouyufanyi
雙鳳餅家;ㄕㄨㄤㄈㄥㄅ一ㄥㄐ一ㄚ;shuangfengbingjia
(油漆施工);(一ㄡㄑ一ㄕㄍㄨㄥ);(youqishigong)
房子防曬;ㄈㄤㄗㄈㄤㄕㄞ;fangzifangshai
子宮鏡;ㄗㄍㄨㄥㄐ一ㄥ;zigongjing
睡眠呼吸中斷;ㄕㄨㄟㄇ一ㄢㄏㄨㄒ一ㄓㄨㄥㄉㄨㄢ;shuimianhuxizhongduan
飛梭;ㄈㄟㄙㄨㄛ;feisuo
馬克通訊;ㄇㄚㄎㄜㄊㄨㄥㄒㄩㄣ;maketongxun
華電水電批發;ㄏㄨㄚㄉ一ㄢㄕㄨㄟㄉ一ㄢㄆ一ㄈㄚ;huadianshuidianpifa
性別;ㄒ一ㄥㄅ一ㄝ;xingbie
腎臟病;ㄕㄣㄗㄤㄅ一ㄥ;shenzangbing
電表加大;ㄉ一ㄢㄅ一ㄠㄐ一ㄚㄉㄚ,ㄉ一ㄢㄅ一ㄠㄐ一ㄚㄉㄞ;dianbiaojiadai,dianbiaojiada
管衡醫師;ㄍㄨㄢㄏㄥ一ㄕ;guanhengyishi
取消違規紀錄;ㄑㄩㄒ一ㄠㄨㄟㄍㄨㄟㄐ一ㄌㄨ;quxiaoweiguijilu
熱帶巴西燒烤;ㄖㄜㄉㄞㄅㄚㄒ一ㄕㄠㄎㄠ;redaibaxishaokao
節目;ㄐ一ㄝㄇㄨ;jiemu
玉寶;ㄩㄅㄠ;yubao
紋繡雕眉;ㄨㄣㄒ一ㄡㄉ一ㄠㄇㄟ;wenxiudiaomei
琴平;ㄑ一ㄣㄆ一ㄥ;qinping
金線拉皮;ㄐ一ㄣㄒ一ㄢㄌㄚㄆ一;jinxianlapi
陕西;ㄕㄢㄒ一;shanxi
服裝設計;ㄈㄨㄓㄨㄤㄕㄜㄐ一,ㄅ一ㄓㄨㄤㄕㄜㄐ一;bizhuangsheji,fuzhuangsheji
湯能任會計師事務所;ㄊㄤㄋㄥㄖㄣㄏㄨㄟㄐ一ㄕㄕㄨㄙㄨㄛ,ㄊㄤㄋㄥㄖㄣㄎㄨㄞㄐ一ㄕㄕㄨㄙㄨㄛ;tangnengrenkuaijishishiwusuo,tangnengrenhuijishishiwusuo
美髮造型;ㄇㄟㄈㄚㄗㄠㄒ一ㄥ;meifazaoxing
通水管;ㄊㄨㄥㄕㄨㄟㄍㄨㄢ;tongshuiguan
中文衛星電視;ㄓㄨㄥㄨㄣㄨㄟㄒ一ㄥㄉ一ㄢㄕ;zhongwenweixingdianshi
花中花夜總會;ㄏㄨㄚㄓㄨㄥㄏㄨㄚ一ㄝㄗㄨㄥㄏㄨㄟ,ㄏㄨㄚㄓㄨㄥㄏㄨㄚ一ㄝㄗㄨㄥㄎㄨㄞ;huazhonghuayezongkuai,huazhonghuayezonghui
美通長途搬運;ㄇㄟㄊㄨㄥㄓㄤㄊㄨㄅㄢㄩㄣ,ㄇㄟㄊㄨㄥㄔㄤㄊㄨㄅㄢㄩㄣ;meitongchangtubanyun,meitongzhangtubanyun
皮革;ㄆ一ㄍㄜ;pige
牌保養;ㄆㄞㄅㄠ一ㄤ;paibaoyang
泠氣系統;ㄌ一ㄥㄑ一ㄒ一ㄊㄨㄥ;lingqixitong
翁茵菁醫師;ㄨㄥ一ㄣㄐ一ㄥ一ㄕ;wengyinjingyishi
電路照明;ㄉ一ㄢㄌㄨㄓㄠㄇ一ㄥ;dianluzhaoming
1-12年級;1ㄥ12ㄋ一ㄢㄐ一;1eng12nianji
皮靴;ㄆ一ㄒㄩㄝ;pixue
(廚房‧家庭用品);(ㄔㄨㄈㄤ‧ㄐ一ㄚㄊ一ㄥㄩㄥㄆ一ㄣ);(chufang‧jiatingyongpin)
中文售後服務;ㄓㄨㄥㄨㄣㄕㄡㄏㄡㄈㄨㄨ,ㄓㄨㄥㄨㄣㄕㄡㄏㄡㄅ一ㄨ;zhongwenshouhoubiwu,zhongwenshouhoufuwu
擔保貸款;ㄉㄢㄅㄠㄉㄞㄎㄨㄢ;danbaodaikuan
齊記鐵工廠─齊先生;ㄑ一ㄐ一ㄊ一ㄝㄍㄨㄥㄔㄤ─ㄑ一ㄒ一ㄢㄕㄥ;qijitiegongchang─qixiansheng
浴防針注射;ㄩㄈㄤㄓㄣㄓㄨㄕㄜ;yufangzhenzhushe
洛杉磯國際機場;ㄌㄨㄛㄕㄚㄐ一ㄍㄨㄛㄐ一ㄐ一ㄔㄤ,ㄌㄨㄛㄕㄢㄐ一ㄍㄨㄛㄐ一ㄐ一ㄔㄤ;luoshajiguojijichang,luoshanjiguojijichang
填平縫洞;ㄊ一ㄢㄆ一ㄥㄈㄥㄉㄨㄥ;tianpingfengdong
腎臟癌;ㄕㄣㄗㄤㄞ,ㄕㄣㄗㄤ一ㄢ;shenzangai,shenzangyan
嘉美裝修─趙嘉葵;ㄐ一ㄚㄇㄟㄓㄨㄤㄒ一ㄡ─ㄓㄠㄐ一ㄚㄎㄨㄟ;jiameizhuangxiu─zhaojiakui
財務報表簽制;ㄘㄞㄨㄅㄠㄅ一ㄠㄑ一ㄢㄓ;caiwubaobiaoqianzhi
阻生齒;ㄗㄨㄕㄥㄔ;zushengchi
關耀清會計稅務;ㄍㄨㄢ一ㄠㄑ一ㄥㄏㄨㄟㄐ一ㄕㄨㄟㄨ,ㄍㄨㄢ一ㄠㄑ一ㄥㄎㄨㄞㄐ一ㄕㄨㄟㄨ;guanyaoqingkuaijishuiwu,guanyaoqinghuijishuiwu
衛浴產品;ㄨㄟㄩㄔㄢㄆ一ㄣ;weiyuchanpin
流产;ㄌ一ㄡㄔㄢ;liuchan
工業電路;ㄍㄨㄥ一ㄝㄉ一ㄢㄌㄨ;gongyedianlu
彈性枕;ㄉㄢㄒ一ㄥㄓㄣ,ㄊㄢㄒ一ㄥㄓㄣ;danxingzhen,tanxingzhen
駱永暢牙醫博士;ㄌㄨㄛㄩㄥㄔㄤ一ㄚ一ㄅㄛㄕ;luoyongchangyayiboshi
林肯人壽保險公司;ㄌ一ㄣㄎㄣㄖㄣㄕㄡㄅㄠㄒ一ㄢㄍㄨㄥㄙ;linkenrenshoubaoxiangongsi
水電木工;ㄕㄨㄟㄉ一ㄢㄇㄨㄍㄨㄥ;shuidianmugong
中文地產經紀;ㄓㄨㄥㄨㄣㄉ一ㄔㄢㄐ一ㄥㄐ一,ㄓㄨㄥㄨㄣㄉㄜㄔㄢㄐ一ㄥㄐ一;zhongwendechanjingji,zhongwendichanjingji
紐約人壽保險─蕭成華;ㄋ一ㄡ一ㄠㄖㄣㄕㄡㄅㄠㄒ一ㄢ─ㄒ一ㄠㄔㄥㄏㄨㄚ,ㄋ一ㄡㄩㄝㄖㄣㄕㄡㄅㄠㄒ一ㄢ─ㄒ一ㄠㄔㄥㄏㄨㄚ;niuyaorenshoubaoxian─xiaochenghua,niuyuerenshoubaoxian─xiaochenghua
無框淋浴門;ㄨㄎㄨㄤㄌ一ㄣㄩㄇㄣ;wukuanglinyumen
嘉美財務會計;ㄐ一ㄚㄇㄟㄘㄞㄨㄏㄨㄟㄐ一,ㄐ一ㄚㄇㄟㄘㄞㄨㄎㄨㄞㄐ一;jiameicaiwukuaiji,jiameicaiwuhuiji
美加健股份有限公司;ㄇㄟㄐ一ㄚㄐ一ㄢㄍㄨㄅ一ㄣ一ㄡㄒ一ㄢㄍㄨㄥㄙ,ㄇㄟㄐ一ㄚㄐ一ㄢㄍㄨㄈㄣ一ㄡㄒ一ㄢㄍㄨㄥㄙ;meijiajiangubinyouxiangongsi,meijiajiangufenyouxiangongsi
窗機;ㄔㄨㄤㄐ一;chuangji
李本宏醫師;ㄌ一ㄅㄣㄏㄨㄥ一ㄕ;libenhongyishi
油網;一ㄡㄨㄤ;youwang
生活協助;ㄕㄥㄏㄨㄛㄒ一ㄝㄓㄨ;shenghuoxiezhu
江門米粉;ㄐ一ㄤㄇㄣㄇ一ㄈㄣ;jiangmenmifen
矯正招風耳;ㄐ一ㄠㄓㄥㄓㄠㄈㄥㄦ;jiaozhengzhaofenger
舊換新;ㄐ一ㄡㄏㄨㄢㄒ一ㄣ;jiuhuanxin
數學教育;ㄕㄨㄚㄒㄩㄝㄐ一ㄠㄩ,ㄕㄨㄒㄩㄝㄐ一ㄠㄩ;shuoxuejiaoyu,shuxuejiaoyu
室內外裝璜;ㄕㄋㄟㄨㄞㄓㄨㄤㄏㄨㄤ;shineiwaizhuanghuang
洛杉磯自來水公司;ㄌㄨㄛㄕㄚㄐ一ㄗㄌㄞㄕㄨㄟㄍㄨㄥㄙ,ㄌㄨㄛㄕㄢㄐ一ㄗㄌㄞㄕㄨㄟㄍㄨㄥㄙ;luoshajizilaishuigongsi,luoshanjizilaishuigongsi
窗簾維修;ㄔㄨㄤㄌ一ㄢㄨㄟㄒ一ㄡ;chuanglianweixiu
格蘭公民入籍‧移民律師;ㄍㄜㄌㄢㄍㄨㄥㄇ一ㄣㄖㄨㄐ一‧一ㄇ一ㄣㄌㄩㄕ;gelangongminruji‧yiminlvshi
友好汽車修護中心;一ㄡㄏㄠㄑ一ㄔㄜㄒ一ㄡㄏㄨㄓㄨㄥㄒ一ㄣ,一ㄡㄏㄠㄑ一ㄐㄩㄒ一ㄡㄏㄨㄓㄨㄥㄒ一ㄣ;youhaoqijuxiuhuzhongxin,youhaoqichexiuhuzhongxin
順通公證;ㄕㄨㄣㄊㄨㄥㄍㄨㄥㄓㄥ;shuntonggongzheng
協議離婚協議;ㄒ一ㄝ一ㄌ一ㄏㄨㄣㄒ一ㄝ一;xieyilihunxieyi
木地板磨光打蠟;ㄇㄨㄉ一ㄅㄢㄇㄛㄍㄨㄤㄉㄚㄌㄚ,ㄇㄨㄉㄜㄅㄢㄇㄛㄍㄨㄤㄉㄚㄌㄚ;mudebanmoguangdala,mudibanmoguangdala
劉恆言中醫師;ㄌ一ㄡㄏㄥ一ㄢㄓㄨㄥ一ㄕ;liuhengyanzhongyishi
火災系統;ㄏㄨㄛㄗㄞㄒ一ㄊㄨㄥ;huozaixitong
智博曼律師;ㄓㄅㄛㄇㄢㄌㄩㄕ;zhibomanlvshi
結婚攝影;ㄐ一ㄝㄏㄨㄣㄕㄜ一ㄥ;jiehunsheying
定做婚紗;ㄉ一ㄥㄗㄨㄛㄏㄨㄣㄕㄚ;dingzuohunsha
軟水機;ㄖㄨㄢㄕㄨㄟㄐ一;ruanshuiji
傳動系統;ㄓㄨㄢㄉㄨㄥㄒ一ㄊㄨㄥ,ㄔㄨㄢㄉㄨㄥㄒ一ㄊㄨㄥ;chuandongxitong,zhuandongxitong
電腦公司;ㄉ一ㄢㄋㄠㄍㄨㄥㄙ;diannaogongsi
印度料理;一ㄣㄉㄨㄌ一ㄠㄌ一;yinduliaoli
骨質増生;ㄍㄨㄓ増ㄕㄥ;guzhi増sheng
懿海建築裝璜工程公司;一ㄏㄞㄐ一ㄢㄓㄨㄓㄨㄤㄏㄨㄤㄍㄨㄥㄔㄥㄍㄨㄥㄙ;yihaijianzhuzhuanghuanggongchenggongsi
張氏兄弟油漆公司;ㄓㄤㄕㄒㄩㄥㄉ一一ㄡㄑ一ㄍㄨㄥㄙ;zhangshixiongdiyouqigongsi
MICHELLE樊房地產經紀;MICHELLEㄈㄢㄈㄤㄉ一ㄔㄢㄐ一ㄥㄐ一,MICHELLEㄈㄢㄈㄤㄉㄜㄔㄢㄐ一ㄥㄐ一;MICHELLEfan fangdechanjingji,MICHELLEfan fangdichanjingji
修補泥灰;ㄒ一ㄡㄅㄨㄋ一ㄏㄨㄟ;xiubunihui
BBA碩士;BBAㄕㄨㄚㄕ;BBAshuoshi
中西成藥;ㄓㄨㄥㄒ一ㄔㄥ一ㄠ;zhongxichengyao
本地搬家;ㄅㄣㄉ一ㄅㄢㄐ一ㄚ,ㄅㄣㄉㄜㄅㄢㄐ一ㄚ;bendebanjia,bendibanjia
無金屬鈎義齒;ㄨㄐ一ㄣㄓㄨ鈎一ㄔ,ㄨㄐ一ㄣㄕㄨ鈎一ㄔ;wujinzhu鈎yichi,wujinshu鈎yichi
億創理財;一ㄔㄨㄤㄌ一ㄘㄞ;yichuanglicai
小巴士;ㄒ一ㄠㄅㄚㄕ;xiaobashi
商用展示櫃;ㄕㄤㄩㄥㄓㄢㄕㄍㄨㄟ;shangyongzhanshigui
美政府機構驗放手續;ㄇㄟㄓㄥㄈㄨㄐ一ㄍㄡ一ㄢㄈㄤㄕㄡㄒㄩ;meizhengfujigouyanfangshouxu
眼部護理;一ㄢㄅㄨㄏㄨㄌ一;yanbuhuli
四季牛排館;ㄙㄐ一ㄋ一ㄡㄅㄟㄍㄨㄢ,ㄙㄐ一ㄋ一ㄡㄆㄞㄍㄨㄢ;sijiniupaiguan,sijiniubeiguan
MICHELLE李;MICHELLEㄌ一;MICHELLEli
購;ㄍㄡ;gou
修補屋頂漏水;ㄒ一ㄡㄅㄨㄨㄉ一ㄥㄌㄡㄕㄨㄟ;xiubuwudingloushui
牛偉立律師事務所;ㄋ一ㄡㄨㄟㄌ一ㄌㄩㄕㄕㄨㄙㄨㄛ;niuweililvshishiwusuo
安神位;ㄢㄕㄣㄨㄟ;anshenwei
孔夫子事務所;ㄎㄨㄥㄈㄨㄗㄕㄨㄙㄨㄛ;kongfuzishiwusuo
劉憲宗醫師─創越醫學美容中心;ㄌ一ㄡㄒ一ㄢㄗㄨㄥ一ㄕ─ㄔㄨㄤㄩㄝ一ㄒㄩㄝㄇㄟㄖㄨㄥㄓㄨㄥㄒ一ㄣ;liuxianzongyishi─chuangyueyixuemeirongzhongxin
新殺蚊法;ㄒ一ㄣㄕㄚㄨㄣㄈㄚ;xinshawenfa
